CR_REGION,NOMBRE_REGION,CR_TIENDA,NOMBRE_TIENDA
10CAN,Yucatan,50631,Viva Caucel MID
10CAN,Yucatan,5063C,Navegantes CUN
10CAN,Yucatan,5065I,Hr Ava CUN
10CAN,Yucatan,50675,Veleros CUN
10CAN,Yucatan,50676,Amigas CUN
10CAN,Yucatan,5069W,Hopelchen Centro MID
10CAN,Yucatan,506B0,Frontera MID
10CAN,Yucatan,506BE,La Fuente MID
10CAN,Yucatan,506CR,Gran San Jose CUN
10CAN,Yucatan,506DA,Tinum CUN
10CAN,Yucatan,506DX,Estación Tame CUN
10CAN,Yucatan,506FV,Vasconcelos CUN
10CAN,Yucatan,506IE,Tohoku CUN
10CAN,Yucatan,506IP,Zama Plus CUN
10CAN,Yucatan,506JN,Xuxha CUN
10CAN,Yucatan,506LH,Poligono CUN
10CAN,Yucatan,506LL,Orion MID
10CAN,Yucatan,506MY,UT CUN
10CAN,Yucatan,506O9,Halcones CUN
10CAN,Yucatan,506RF,Museo De Cera CUN
10CAN,Yucatan,506VI,Uptown MID
10CAN,Yucatan,506X8,Palma Africana CUN
10CAN,Yucatan,506XF,Exodo CUN
10CAN,Yucatan,506Y2,Lagos Del Sol CUN
10CAN,Yucatan,506ZD,Marlea CUN
10CAN,Yucatan,506ZI,Piedra Escondida CUN
10CAN,Yucatan,506ZX,Termoelectrica MID
10CAN,Yucatan,5072L,Maya Kiin CUN
10CAN,Yucatan,5072Q,Montecarlo CUN
10CAN,Yucatan,5072Y,Amalfi CUN
10CAN,Yucatan,5074I,Champotonero MID
10CAN,Yucatan,50775,Tenerife CUN
10CAN,Yucatan,5077N,Pelicanos CUN
10CAN,Yucatan,5078I,Calle 63 CUN
10CAN,Yucatan,5078Z,Marlyn CUN
10CAN,Yucatan,50798,Circuito Yucatan
10CAN,Yucatan,5079G,La Reina MID
10CAN,Yucatan,507A6,Antartida CUN
10CAN,Yucatan,507CF,Isla Holbox CUN
10CAN,Yucatan,507CH,Pescador CUN
10CAN,Yucatan,507D1,Barracuda CUN
10CAN,Yucatan,507DR,Lazaro Cardenas MID
10CAN,Yucatan,507DT,Chicozapote CUN
10CAN,Yucatan,507GM,Isla Blanca CUN
10CAN,Yucatan,507I3,Country Town MID
10CAN,Yucatan,507IP,Ikal CUN
10CAN,Yucatan,507KT,Gas El Ideal CUN
10CAN,Yucatan,507SD,Calaíta CUN
10CAN,Yucatan,507T9,Petronila MID
10CAN,Yucatan,507US,Planet Hollywood CUN
10CAN,Yucatan,507V0,Salvia CUN
10CAN,Yucatan,507VQ,Champotón Centro MID
10CAN,Yucatan,507VW,Viva Alegre MID
10CAN,Yucatan,507W8,Kanil CUN
10CAN,Yucatan,507XX,Periferico Oriente MID
10CAN,Yucatan,507Y0,Botanico CUN
10CAN,Yucatan,507YE,Hamacas MID
10CAN,Yucatan,507YU,Avante CUN
10CAN,Yucatan,507Z3,Copan CUN
10CAN,Yucatan,507ZE,Insurgentes MID
10CAN,Yucatan,5080L,Valladolid CUN
10CAN,Yucatan,5081G,Sedena Sur MID
10CAN,Yucatan,5083N,Takh CUN
10CAN,Yucatan,5086E,Tiburon Ballena CUN
10CAN,Yucatan,5087O,Justicia CUN
10CAN,Yucatan,5088O,El Valle CUN
10CAN,Yucatan,5089A,Solum CUN
10CAN,Yucatan,5089B,Amantea CUN
10CAN,Yucatan,508BC,Faro Caucel CUN
10CAN,Yucatan,508D3,Bellavista MID
10CAN,Yucatan,508D7,El Cedral CUN
10CAN,Yucatan,508DI,Polcan CUN
10CAN,Yucatan,508DK,Zacil Be CUN
10CAN,Yucatan,508DP,Martinete CUN
10CAN,Yucatan,508F2,Calle 11 CUN
10CAN,Yucatan,508FM,Coralina CUN
10CAN,Yucatan,508HX,Maderos CUN
10CAN,Yucatan,508J8,Bahía Cobá CUN
10CAN,Yucatan,508JA,San Angelo MID
10CAN,Yucatan,508JS,Gas El Porvenir MDA
10CAN,Yucatan,508KM,Toledano CUN
10CAN,Yucatan,508MJ,Gran Vistana CUN
10CAN,Yucatan,508N4,Mallorca CUN
10CAN,Yucatan,508N7,Cocos MID
10CAN,Yucatan,508PA,Pato CUN
10CAN,Yucatan,508RE,Pitahaya CUN
10CAN,Yucatan,508SH,Novia del Mar MID
10CAN,Yucatan,508U6,Santa Gertrudis MID
